timestamp,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,ground_truth
0 days 00:00:45.712066667,0.5162315964698792,0.3663751482963562,-0.14873866736888885,0.9999174475669861,0.38749873638153076,0.37472671270370483,-0.12568366527557373,0.9998881220817566,0.5191284418106079,0.5452235341072083,-0.1911221295595169,0.9976863265037537,0.3660074472427368,0.5612296462059021,-0.06381947547197342,0.9968541264533998,0.41652780771255493,0.5339849591255188,-0.3960561156272888,0.9982290863990784,0.3627687692642212,0.7514777183532715,-0.15986016392707825,0.9928364753723145,0.3896614015102386,0.5411853790283203,-0.4527580738067627,0.9957408308982849,0.35686978697776794,0.8098425269126893,-0.19183190166950223,0.9821981191635133,0.3853878974914551,0.5238642692565918,-0.44849520921707153,0.9961585998535156,0.36673426628112793,0.8142493367195128,-0.2233153134584427,0.9838935732841492,0.3936757445335388,0.5203716158866882,-0.39672359824180603,0.995638906955719,0.37119910120964045,0.7940325140953064,-0.17133042216300964,0.9848597049713135,swipe_left
0 days 00:00:45.776433333,0.515851616859436,0.36644071340560913,-0.1506446748971939,0.9999234080314636,0.38713446259498596,0.3751307129859924,-0.12833301723003387,0.9998885989189149,0.5327585935592651,0.5560540556907654,-0.19482573866844177,0.9978813529014589,0.3676292300224304,0.5647198557853699,-0.062117110937833786,0.9967542290687561,0.43530946969985956,0.5795183777809143,-0.4280003011226654,0.9983525276184083,0.36190199851989746,0.7514068484306337,-0.173031747341156,0.9926154017448426,0.4066058099269867,0.5981529355049133,-0.4894320368766784,0.9959867596626282,0.3545350134372711,0.8092979192733765,-0.2087678611278534,0.9815961718559265,0.3905187249183655,0.5708009600639343,-0.4894675612449646,0.9963662624359131,0.36522984504699707,0.814131259918213,-0.24634158611297607,0.9833118915557861,0.399248868227005,0.5650924444198608,-0.42910939455032343,0.995839536190033,0.3702575564384461,0.7940217852592468,-0.1882236450910568,0.9842069745063782,idle
0 days 00:00:45.840400,0.5147560834884644,0.36788409948349,-0.14960217475891113,0.9999297857284547,0.3857221901416779,0.3762738108634948,-0.11743386834859848,0.9998860359191895,0.5351811647415161,0.552880585193634,-0.14999058842658997,0.9980139136314392,0.36740437150001526,0.568042516708374,-0.0393759161233902,0.9965611696243286,0.4807177186012268,0.6235726475715637,-0.4038762450218201,0.9984453916549682,0.3611869513988495,0.7514126300811766,-0.16122883558273315,0.9924802184104919,0.4639328420162201,0.6620581150054932,-0.4838836789131165,0.9962064623832703,0.3527040183544159,0.8091313838958739,-0.20310971140861508,0.9815828204154968,0.4506258070468903,0.6392546892166138,-0.46507850289344793,0.9965566396713257,0.3643689751625061,0.8141279220581055,-0.2398010194301605,0.983270525932312,0.45322403311729437,0.6254065036773682,-0.4276335835456848,0.9960317015647889,0.36995178461074824,0.7942060828208922,-0.18033960461616516,0.984071373939514,idle
0 days 00:00:45.904400,0.5131321549415588,0.36953362822532654,-0.1412106603384018,0.9999347329139708,0.38335239887237543,0.376948595046997,-0.117511585354805,0.9998763799667358,0.5359540581703186,0.552794337272644,-0.12561523914337158,0.997522234916687,0.3673906922340393,0.5707442164421082,-0.06535971164703369,0.9951468110084534,0.5089969038963318,0.6616265177726746,-0.3400479257106781,0.9974532127380372,0.35996708273887634,0.7514240741729737,-0.18651494383811953,0.9862750768661499,0.5073358416557312,0.7157323956489563,-0.4031561315059662,0.9940308332443237,0.35122421383857727,0.8090521693229675,-0.22731725871562958,0.9717480540275575,0.4933931827545166,0.7061465978622437,-0.43471559882164,0.9947031140327454,0.36364102363586426,0.8140883445739746,-0.2704140841960907,0.9744995236396788,0.489548534154892,0.6889651417732239,-0.3604995608329773,0.9935007095336914,0.36971890926361084,0.7943627238273621,-0.2055872231721878,0.9740692973136903,idle
0 days 00:00:45.968100,0.5103892087936401,0.371599018573761,-0.11742673814296721,0.9999368190765381,0.37808218598365784,0.3800128996372223,-0.1387055218219757,0.9998751282691956,0.5346792936325073,0.5540792942047119,-0.04565459117293358,0.9975652694702148,0.3654184937477112,0.5751787424087524,-0.10189405828714371,0.9953396916389465,0.5288715362548828,0.7042126059532166,-0.21083426475524902,0.9975257515907289,0.35685867071151733,0.7514257431030272,-0.2401925623416901,0.9871187806129456,0.5380386710166931,0.7578480839729309,-0.25981801748275757,0.9941973686218262,0.3486831784248352,0.8090763688087463,-0.2831933796405792,0.9732797741889954,0.524384081363678,0.7574497461318969,-0.3028494417667389,0.9948642253875732,0.35956674814224243,0.8140566349029541,-0.32961979508399963,0.9759329557418823,0.5186792016029358,0.7430888414382936,-0.23078012466430664,0.9937286972999574,0.3652695119380951,0.794357717037201,-0.2599535584449768,0.9754967093467712,idle
0 days 00:00:46.048133333,0.5076780319213867,0.373025268316269,-0.15795519948005676,0.9999379515647888,0.3740687072277069,0.38103294372558594,-0.201307088136673,0.9998718500137329,0.5340927839279175,0.562741219997406,-0.07612226903438568,0.9975698590278624,0.3623813986778259,0.5767086148262024,-0.15759828686714172,0.9953985810279846,0.5362014174461365,0.7327629327774048,-0.2211817502975464,0.9975437521934509,0.3544531762599945,0.7522394061088562,-0.28458842635154724,0.9874913096427919,0.5486026406288147,0.785174548625946,-0.2648605406284332,0.9941465258598328,0.3459208011627197,0.8105428814887999,-0.3254064917564392,0.9736813902854919,0.5359916090965271,0.7885066270828247,-0.30867210030555725,0.9948337674140931,0.35617342591285706,0.8149321675300598,-0.37193948030471796,0.9763690233230592,0.5289722084999084,0.7725192308425903,-0.24055881798267365,0.9937502145767213,0.36192911863327026,0.7953920364379883,-0.304308146238327,0.9758487343788147,idle
0 days 00:00:46.112000,0.5044511556625366,0.374085009098053,-0.1672021448612213,0.9999387860298157,0.37090373039245605,0.380998820066452,-0.22446951270103455,0.999872088432312,0.5312610864639282,0.5709202885627747,-0.07425608485937119,0.9976242184638977,0.35879552364349365,0.577931821346283,-0.17802713811397552,0.9955503940582275,0.5364775657653809,0.7493505477905273,-0.20524907112121582,0.9975365400314331,0.3517599403858185,0.7534749507904053,-0.29821866750717163,0.9878981113433838,0.5476050972938538,0.8013525009155273,-0.2451649457216263,0.9940250515937806,0.34348246455192566,0.812235713005066,-0.33698195219039917,0.9741663932800293,0.5335249304771423,0.8079841732978821,-0.2900051176548004,0.9947397708892822,0.35356277227401733,0.8162990808486938,-0.3835403025150299,0.9768801927566527,0.5269941091537476,0.790467858314514,-0.2248176038265228,0.993721067905426,0.3591797649860382,0.7971534729003906,-0.31731098890304565,0.9763382077217102,idle
0 days 00:00:46.176533333,0.5017502307891846,0.37578922510147095,-0.1870089769363403,0.9999373555183412,0.3674977123737335,0.3808243572711944,-0.23853233456611636,0.9998710155487059,0.5256646275520325,0.5788381099700928,-0.09164047986268997,0.9976208806037902,0.3546753227710724,0.5783194303512573,-0.19590860605239868,0.9956516027450562,0.5308859348297119,0.758945107460022,-0.22439250349998474,0.9973856210708618,0.35019582509994507,0.7549771666526794,-0.31351977586746216,0.9879044890403749,0.5405439138412476,0.80865478515625,-0.2644086182117462,0.9934918284416199,0.34235042333602905,0.8144354224205018,-0.35097044706344604,0.9736402630805969,0.5265589356422424,0.8155444860458374,-0.3074619770050049,0.9942753911018372,0.35297325253486633,0.8178575038909912,-0.3957263231277466,0.9764919281005859,0.5208538770675659,0.7983672022819519,-0.2431323528289795,0.9932826161384583,0.3588452935218811,0.7986837029457092,-0.3318517804145813,0.9758678078651428,idle
0 days 00:00:46.240366667,0.5003297328948975,0.37786400318145746,-0.1682528704404831,0.9999358654022217,0.3643236756324768,0.3807815909385681,-0.2129687070846558,0.9998728036880494,0.5199075937271118,0.5800867080688477,-0.06612715125083923,0.9972968101501465,0.3506626486778259,0.5784485340118408,-0.17052572965621948,0.9957203269004822,0.524394690990448,0.7506527304649353,-0.20498788356781006,0.9970837831497192,0.3489439785480499,0.7549728155136108,-0.29626235365867615,0.9880186319351197,0.5356284379959106,0.7988052964210511,-0.24942317605018616,0.9926723837852479,0.3416150212287903,0.8144221901893616,-0.33700188994407654,0.9734236001968384,0.5236332416534424,0.8038733005523682,-0.2933792471885681,0.9935685396194458,0.3519555926322937,0.8178188800811769,-0.38150811195373535,0.9763607382774353,0.5177762508392334,0.7861789464950562,-0.2246200144290924,0.9924353957176208,0.35759657621383667,0.798637628555298,-0.3146372437477112,0.9754909873008728,idle
0 days 00:00:46.304266667,0.4992072582244873,0.3808044791221618,-0.16641899943351746,0.9999332427978516,0.3618437945842743,0.3805332183837891,-0.2077157944440842,0.9998766183853149,0.5133771896362305,0.5813500881195068,-0.05380113795399666,0.9964252710342407,0.34860047698020935,0.578384518623352,-0.16620732843875885,0.9957398176193237,0.5200170278549194,0.7548385858535767,-0.19261269271373752,0.9959811568260193,0.348116934299469,0.7556691765785216,-0.2904432415962219,0.9876371622085571,0.5299089550971985,0.8034582138061525,-0.23781001567840576,0.9901652932167052,0.34088054299354553,0.8149977922439576,-0.3319917619228363,0.9722585082054138,0.5200404524803162,0.8085261583328248,-0.2812036871910095,0.9913654923439026,0.3519728481769562,0.8177930116653442,-0.37468045949935913,0.9753581285476685,0.5142556428909302,0.7909919023513793,-0.2123879939317703,0.9898912906646727,0.35775190591812134,0.7986050844192504,-0.30810895562171936,0.9741996526718141,idle
